Facility Name,Facility Id,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?
Waha Cmp Stn,1003250,Coyanosa,TX,79730,4906 EL PASO ROAD,Pecos,31.273237,-103.082414,211112,"C,W-NGTC",Petroleum and Natural Gas Systems,58678.784,31005.0,27656.5,17.284,,,,,,,,,,31004.884,,,,,,,,,,,,,,,,,,,,27673.9,,,,,,,,,,,,,,,,,N,N,N
Waha Gas Plant,1005691,Coyanosa,TX,79730,2821 WAHA ROAD,Pecos,31.268888,-103.086666,486210,"C,UU,W-PROC","Injection of CO2,Petroleum and Natural Gas Systems",76580.444,67102.3,9440.0,38.144,,,,,,,,,,62537.464,,,,,,,,,,,,,,,,,,,14042.98,,,,,,,,,,,,,,,,,,N,N,N
Walker Mountain Landfill-rome-floyd Sw Commission,1006025,Rome,GA,30161,433 WALKER MT. ROAD,Floyd,34.190954,-85.219631,562212,HH,Waste,79886.0,,79886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79886.0,,,,N,N,N
Walnut Power Plant,1003831,Turlock,CA,95380,325 S WASHINGTON RD,Stanislaus,37.48991,-120.903588,221112,C,Power Plants,569.746,568.9,0.25,0.596,,,,,,,,,,569.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Warbasse Houses & Power Plant,1005111,Brooklyn,NY,11224,2701 WEST 6TH STREET,Kings,40.58248,-73.97453,221112,C,Power Plants,32520.676,32486.7,15.5,18.476,,,,,,,,,,32520.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Ward Manufacturing Llc,1006253,Blossburg,PA,16912,117 GULICK ST,Tioga,41.67211,-77.06111,331511,C,Metals,22592.184,22493.2,37.0,61.984,,,,,,,,,,22592.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Warner Co2 Treatment Plant,1009130,Elmira,MI,49730,336 FRANCKOWIAK RD,Otsego,45.034388,-84.846853,221210,"C,W-PROC",Petroleum and Natural Gas Systems,44634.37819,44386.31677,243.505,4.55642,,,,,,,,,,8005.955,,,,,,,,,,,,,,,,,,,36628.42319,,,,,,,,,,,,,,,,,,N,N,N
Wasatch Integrated Waste Management District,1007282,Layton,UT,84041,3404 NORTH 650 EAST,Davis,41.03958,-111.92407,562212,"C,HH",Waste,78863.858,23690.3,54392.5,781.058,,,,,,,,,32926.8,24970.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53893.0,,,,N,N,N
Wasatch Regional Landfill,1004351,North Skull Valley,UT,84029,8833 ROWLEY ROAD,Tooele,40.8411,-112.73333,562212,HH,Waste,41492.25,,41492.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41492.25,,,,N,N,N
Wasco Landfill,1004515,The Dalles,OR,97058,2550 STEELE ROAD,Wasco,45.55889,-121.13291,562212,HH,Waste,70003.25,,70003.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70003.25,,,,N,N,N
